"uid","Name (greeting)","Name (survey)","E-mail","elso_szintu_szegmentacio_a","elso_szintu_szegmentacio_b","Department","Hierarchy level","mukodesi_terulet","iranyitasi_szint","Questionnaire language"
"resp0","resp0","resp0","resp0@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp1","resp1","resp1","resp1@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp2","resp2","resp2","resp2@example.com","gazdálkodás","OPERÁCIÓS VIGH","Társasági Szolgáltatások Ig.","E","nyugati régió","Szolgáltatás","Hungarian (formal)"
"resp3","resp3","resp3","resp3@example.com","törzskari","Törzskari FŐIG","Működésfejl. és Szabályozási Ig.","TL","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp4","resp4","resp4","resp4@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp5","resp5","resp5","resp5@example.com","ellenőrzés","Ellenőrzési IG","Működésellenőrzési Kp.","TL","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp6","resp6","resp6","resp6@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp7","resp7","resp7","resp7@example.com","üzlet","VÁLLALATI VIGH","Kiemelt Ügyfelek Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp8","resp8","resp8","resp8@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp9","resp9","resp9","resp9@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp10","resp10","resp10","resp10@example.com","törzskari","Törzskari FŐIG","Működésfejl. és Szabályozási Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp11","resp11","resp11","resp11@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
"resp12","resp12","resp12","resp12@example.com","üzlet","LAKOSSÁGI VIGH","Ügyfélszolgálati Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp13","resp13","resp13","resp13@example.com","üzlet","LAKOSSÁGI VIGH","Kp.i Területi Ig.","E","központi régió","Végrehajtás","Hungarian (formal)"
"resp14","resp14","resp14","resp14@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp15","resp15","resp15","resp15@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp16","resp16","resp16","resp16@example.com","üzlet","LAKOSSÁGI VIGH","Posta Elszámoló Kp.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp17","resp17","resp17","resp17@example.com","HR","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","E","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp18","resp18","resp18","resp18@example.com","üzlet","VÁLLALATI VIGH","Csomag Termékmenedzsment Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp19","resp19","resp19","resp19@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Üzleti irányítás","Hungarian (formal)"
"resp20","resp20","resp20","resp20@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp21","resp21","resp21","resp21@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Szolgáltatás","Hungarian (formal)"
"resp22","resp22","resp22","resp22@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp23","resp23","resp23","resp23@example.com","hálózat","LAKOSSÁGI VIGH","Nyugat-magyarországi Területi Ig.","TL","nyugati régió","Végrehajtás","Hungarian (formal)"
"resp24","resp24","resp24","resp24@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","TL","központi régió","Végrehajtás","Hungarian (formal)"
"resp25","resp25","resp25","resp25@example.com","gazdálkodás","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","E","keleti régió","Végrehajtás","Hungarian (formal)"
"resp26","resp26","resp26","resp26@example.com","üzlet","VÁLLALATI VIGH","Levél Termékmenedzsment Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp27","resp27","resp27","resp27@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp28","resp28","resp28","resp28@example.com","üzlet","OPERÁCIÓS VIGH","Hírlap Ig.","TL","országos szintű","Végrehajtás","Hungarian (formal)"
"resp29","resp29","resp29","resp29@example.com","gazdálkodás","GAZDASÁGI VIGH","Kontrolling Ig.","E","országos szintű","Társaságirányítás","Hungarian (formal)"
"resp30","resp30","resp30","resp30@example.com","HR","Humánerőforrás FŐIG","Humán Erőforrás Szolgáltató Kp.","E","központi régió","Szolgáltatás","Hungarian (formal)"
"resp31","resp31","resp31","resp31@example.com","üzlet","VÁLLALATI VIGH","Vállalati Értékesítési Ig.","E","országos szintű","Üzleti irányítás","Hungarian (formal)"
"resp32","resp32","resp32","resp32@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp33","resp33","resp33","resp33@example.com","logisztika","OPERÁCIÓS VIGH","Logisztikai Ig. - üzem, központ","E","országos szintű","Végrehajtás","Hungarian (formal)"
"resp34","resp34","resp34","resp34@example.com","hálózat","LAKOSSÁGI VIGH","Kelet-magyarországi Területi Ig.","TL","keleti régió","Végrehajtás","Hungarian (formal)"
"resp35","resp35","resp35","resp35@example.com","hálózat","LAKOSSÁGI VIGH","Kp.i Területi Ig.","MM","központi régió","Végrehajtás","Hungarian (formal)"
